id;cpf;nome_completo;email;telefone
1;67967;Lindo Pequeno;Joana94@bol.com.br;18881
2;59062;Jardim;JooLucas.Moreira98@hotmail.com;71945
3;54784;Leone target stable;gor17@hotmail.com;84972
4;1852;Intuitive synthesizing;Anthony.Melo@yahoo.com;21782
5;24030;Atum;Daniel63@gmail.com;59497
6;51279;deliverables Account;Maria_Moreira37@live.com;35993
7;63220;Associate withdrawal;Beatriz_Moreira86@yahoo.com;41471
8;32622;Bicicleta;Emanuel_Batista@bol.com.br;79698
9;20160;Configuration Re-engineered;Paula_Carvalho49@hotmail.com;19754
10;11029;paradigms Berkshire Congo;Alessandra_Martins@yahoo.com;15085
