id;curso;nome_completo;email;telefone
1;Organic innovate Loan;withdrawal driver boliviano;Paula.Pereira39@gmail.com;9272
2;navigate;Principal Camiseta Martinica;Gbio82@bol.com.br;4785
3;Finlândia hierarchy;efficient Grande;Gustavo.Moreira4@hotmail.com;62402
4;PCI XML Crianças;Auto Peixe Automotivo;Beatriz71@live.com;75748
5;implement Grosso;Dinar District payment;Sulen_Barros@yahoo.com;36810
6;Object-based;orchestration Implementation;Isadora.Oliveira@yahoo.com;20906
7;harness;Assistant Adaptive;Larissa_Silva54@hotmail.com;74612
8;AGP limão;Executive;Pablo_Albuquerque67@hotmail.com;32
9;generate Bahia;Madeira array Dynamic;Murilo_Batista@bol.com.br;35509
10;neural monitor;Avon Borracha Developer;Leonardo38@yahoo.com;71517
